type,nom,ouverture,fermeture et précisions,lieu,adresse,x,y,capacité,Nombre d'ESI placés,"Durée moyenne de la rétention
(en jours)","Taux d'éloignement
(en %)",Trois principales nationalités des ESI placésen ,,total_retenus_2003,total_retenus_2004,total_retenus_2005,total_retenus_2006,,total_retenus_2007,total_retenus_2008,total_retenus_2009,total_retenus_2010,total_retenus_2011,total_retenus_2012,total_retenus_2013,total_retenus_2014,total_retenus_2015,total_retenus_2016,total_retenus_2017,total_retenus_2018,total_retenus_2019,,,total_retenus_2020,total_retenus_2021,total_retenus_2022,total_retenus_2023,total_retenus_2024
LRA,Locaux de Rétention Administrative de Bastia,2004,,Bastia,Hotel de police 6 Rue Luce de Casabianca 20200 Bastia,42.7037403,9.4529516,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Bobigny,2021,,Bobigny,Hôtel de Police - 45 rue Carency - 93000 BOBIGNY,48.90997314453125,2.45119047164917,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Brest,,,Brest,Commissariat de police 15 Rue Colbert 29200 Brest,48.389048,-4.486748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Cergy-Pontoise,2001 (2010),,Cergy-Pontoise,Commissariat de Cergy-Pontoise - 4 rue de la Croix des Maheux - 95520 CERGY-PONTOISE,49.037975,2.0858754,12h 4f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Cherbourg,2004,,Cherbourg,"2 Rue du Val de Saire, 50100 Cherbourg-en-Cotentin","49.63850402832031,",-1.6121742725372314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Choisy-Le-Roy,1990 (CRA d’origine),,Choisy-Le-Roy,9 Avenue Léon Gourdault - 94600 CHOISY LE ROI,48.7639243,2.4062463,12h 2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Cenon,2021,,Cenon,chemin CAMPARIAN 33150 CENON,44.8502957,-0.5238525,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Forbach,1990,,Forbach,67260 route de Kalhausen BP 111 Oermingen,49.0001069,7.1329936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de l’aéroport du Lamentin,,,aéroport de Lamentin (Martinique),"BP279, Le Lamentin 97285, Martinique",14.614557,-61.0018145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRA,Locaux de Rétention Administrative de Lomme,temporaire,,Lomme,"comissariat de Lomme, Rue de l'Hôtel de ville, 59160",50.6399755,3.011401,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
