type, ,ouverture,fermeture et précisions,lieu,adresse,x,y,capacité
CRA,Centre de Rétention Administrative de Pamandzi (Mayotte),2015,,Pamandzi (Mayotte),"Route du lotissement Chanfi Sabili, le Petit Moya 97 610 PAMANDZI",-12.799349,45.285755,136
LRA,Locaux de Rétention Administrative de Pamandzi (Mayotte),2023,,Pamandzi (Mayotte),"Route du lotissement Chanfi Sabili, le Petit Moya 97 610 PAMANDZI",-12.79674,45.27938,24
CRA,Centre de Rétention Administrative de Paris-Dépot-Palais de Justice,1981,partie homme en 2006,Paris-Dépot,3 quai de l’Horloge 75023 PARIS ,48.8566647,2.3446145,40
CRA,Centre de Rétention Administrative de Paris-Vincennes,"1995 (2010, 2018)",,Paris-Vincennes,"48 Av. de l'École de Joinville, 75012 Paris",48.8310662,2.4688277,235
CRA,Centre de Rétention Administrative de Perpignan,2007,,Perpignan,"Canton de Perpignan, 1, 66000 Perpignan",42.7015739,2.8941503,60
CRA,Centre de Rétention Administrative de Plaisir,2006,,Plaisir,"889 Av. François Mitterrand, 78370 Plaisir",48.8191275,1.958148,26
LRA,Locaux de Rétention Administrative de Poitiers,2001,,Poitiers,"38 Rue de la Marne, 86000 Poitiers",46.581892,0.338223,2
LRA,Locaux de Rétention Administrative de Pontarlier,2024,,Pontarlier,"16 Rocade Georges Pompidou, 25300 Pontarlier",46.9012469,6.3547012,
LRA,Locaux de Rétention Administrative de Reims,2005,,Reims,"Hôtel de police - 40, Boulevard Louis Roederer - 51100 REIMS",49.256176,4.021882,2
CRA,Centre de Rétention Administrative de Rennes,2007,,Rennes,"Rue Jules Vallès, 35136 Saint-Jacques-de-la-Lande",48.1117611,-1.6802654,36h 6f 4fa
CRA,Centre de Rétention Administrative de Rivesaltes,1984,,Rivesaltes,Camp Joffre route d'Opoul 66600 Rivesaltes,42.803453,2.879782,50
LRA,Locaux de Rétention Administrative de Rivesaltes,,déplacé en 2007-2009,Rivesaltes,"2 Av. Gustave Eiffel, 66600 Rivesaltes",42.7767,2.8367,
CRA,Centre de Rétention Administrative de Rouen-Oissel,2004,,Rouen-Oissel,École nationale de police - Route des Essarts - BP 11 76350 Oissel ,49.0560842,2.6503201,53h 19f
LRA,Locaux de Rétention Administrative de Ruaudin,2023,,Ruaudin," Hôtel Ashley, 27 Bd Robert Jarry, 72000 Le Mans",47.9961921,0.1925077,2
LRA,Locaux de Rétention Administrative de Saint-Dizier,2022,,Saint-Dizier,5 rue du Brigadier-Albert 52100 Saint-Dizier,48.639732360839844, 4.962185382843018,
CRA,Centre de Rétention Administrative de Saint-Louis,,"2006, devenu LRA",Saint-Louis,Rue de Lys 3 - 68300 Saint-Louis,47.5895753,7.5600901,
LRA,Locaux de Rétention Administrative de Saint-Louis,2001,,Saint-Louis,Rue de Lys 3 - 68300 Saint-Louis,47.5895753,7.5600901,6h 3f
LRA,Locaux de Rétention Administrative de Savigny-sur-Orge,2024,,Savigny-sur-Orge,"1 Pl. Régis Ryckebush, 91600 Savigny-sur-Orge",48.69228043752301,2.3377128,
CRA,Centre de Rétention Administrative de Sète,1993,,Sète,"15 Quai François Maillol, 34200 Sète",43.4098447,3.7006368,28
LRA,Locaux de Rétention Administrative de Soissons,2001,,Soissons,19 rue Paul-Deviolaine 02209 Soissons,49.38569,3.322992,4
CRA,Centre de Rétention Administrative de Strasbourg-Geispolsheim,1991,,Strasbourg-Geispolsheim,"Rue du Fort Lefebvre, 67118 Geispolsheim",48.5252292,7.6897368,34h
CRA,Centre de Rétention Administrative de Toulouse-Cornebarrieu,2006,,Toulouse-Cornebarrieu,"Av. Latécoère, 31700 Cornebarrieu",43.642613, 1.3412664,126
LRA,Locaux de Rétention Administrative de Tourcoing,2019,,Tourcoing,"Hôtel de police, 49 Avenue de la Fin de la Guerre, 59200 Tourcoing",50.7270776,3.1486185,
LRA,Locaux de Rétention Administrative de Tours,2004,,Tours,"Commissariat Principal de Police de Tours, 70 rue Marceau - 37000 Tour",50.72736,3.14916,4h 2f
LRA,Locaux de Rétention Administrative de Trégueux,non permanent,dans hôtels,Trégueux,"Kyriad Direct Saint Brieuc - Parc des Expositions, 52 Rue du Gué Lambert, 22950 Trégueux",48.4941283,-2.7646644,
LRA,Locaux de Rétention Administrative de Troyes,2023,,Troyes,"18 Rue des Gayettes, 10000 Troyes ",48.2895505,4.0732198,
CRA,Centre de Rétention Administrative de Versailles,,2006,Versailles,"Hôtel de police, 19, avenue de Paris, Versailles.",48.79850387573242,2.1439249515533447,
CRA en projet,Centre de Rétention Administrative à  Dijon-Longvic,projet,,Dijon,ancienne base aérienne BA 102,47.28093,5.06202,
CRA en projet,Centre de Rétention Administrative à Aix/luynes,projet,,Aix/Luynes,Luynes,43.4811596,5.3982948,
CRA en projet,Centre de Rétention Administrative à Béziers,projet,,Béziers,"Centre pénitentiaire de Béziers, 861 Route de Saint-Pons, 34500 Béziers, France",43.3396565,3.1803971,
CRA en projet,Centre de Rétention Administrative  à Dunkerque,projet,,Dunkerque,Route du Pacifique  Loon-Plage,50.99817,2.22451,
CRA en projet,Centre de Rétention Administrative à Nantes,projet,,Nantes,"Rue de la Mainguais, 44300 Nantes",47.2637418,-1.5070959,
CRA en projet,Centre de Rétention Administrative à Goussainville,projet,,Goussainville,95190 Goussainville,49.0323168,2.4733628,
